"s","a","r","sp"
46,2,0,45
45,3,0,55
55,3,0,45
45,3,0,55
55,1,0,54
54,2,0,55
55,2,0,56
56,2,0,57
57,3,0,67
67,1,0,66
66,3,0,76
76,3,0,86
86,1,0,85
85,2,0,86
86,1,0,85
85,1,0,75
75,4,0,85
85,1,0,75
75,4,0,65
65,4,0,66
66,3,0,67
67,4,0,77
77,4,10,67
67,1,0,66
66,3,0,56
56,3,0,66
66,1,0,65
65,1,0,66
66,3,0,76
76,4,0,77
77,1,10,76
76,2,0,66
66,4,0,56
56,3,0,66
66,4,0,65
65,1,0,55
55,3,0,65
65,1,0,64
64,1,0,63
63,3,0,73
73,4,0,63
63,3,0,73
73,2,0,74
74,1,0,73
73,2,0,74
74,1,0,73
73,2,0,83
83,4,0,73
73,3,0,83
83,1,0,82
82,1,0,92
92,1,0,91
91,3,0,91
91,4,0,81
81,4,0,71
71,4,0,72
72,2,0,82
82,1,0,81
81,2,0,82
82,1,0,81
81,3,0,71
71,1,0,71
71,1,0,71
71,3,0,81
81,2,0,82
82,4,0,72
72,3,0,82
82,2,0,83
83,4,0,93
93,2,0,94
94,3,0,94
94,1,0,84
84,1,0,83
83,1,0,82
82,1,0,81
81,3,0,91
91,4,0,92
92,3,0,92
92,1,0,93
93,3,0,93
93,2,0,92
92,1,0,93
93,1,0,92
92,4,0,82
82,3,0,92
92,4,0,93
93,4,0,83
83,1,0,82
82,1,0,81
81,2,0,82
82,3,0,81
81,1,0,81
81,1,0,81
81,4,0,71
71,2,0,72
72,4,0,73
73,1,0,74
74,1,0,73
73,4,0,63
63,2,0,62
33,3,0,43
43,1,0,42
42,3,0,52
52,3,0,62
62,4,0,52
52,3,0,51
51,3,0,61
61,3,0,71
71,4,0,61
61,2,0,62
62,2,0,61
61,4,0,51
51,1,0,51
51,2,0,52
52,3,0,51
51,1,0,51
51,4,0,41
41,4,0,42
42,2,0,52
52,2,0,53
53,1,0,52
52,1,0,51
51,4,0,41
41,2,0,42
42,4,0,52
52,4,0,53
53,2,0,54
54,2,0,55
55,1,0,45
45,4,0,35
35,4,0,25
25,4,0,15
15,2,0,16
16,2,0,6
6,2,0,7
7,3,0,17
17,3,0,27
27,4,0,17
17,3,0,27
27,2,0,28
28,3,0,29
29,1,0,28
28,2,0,29
29,2,0,30
30,3,0,20
20,4,0,10
10,1,0,20
20,1,0,19
19,4,0,9
9,2,0,10
10,4,0,10
10,4,0,10
10,2,0,10
10,4,0,10
10,1,0,9
9,4,0,9
9,1,0,8
8,1,0,7
7,2,0,8
8,1,0,7
7,2,0,8
8,3,0,18
18,2,0,19
19,4,0,9
9,1,0,8
8,4,0,8
8,3,0,18
18,2,0,19
19,2,0,20
20,3,0,30
30,2,0,30
30,1,0,40
40,3,0,50
50,1,0,49
49,4,0,39
39,3,0,49
49,4,0,39
39,4,0,49
49,4,0,39
39,1,0,38
38,2,0,37
37,1,0,38
38,2,0,39
39,3,0,29
29,3,0,39
39,2,0,49
49,2,0,50
50,1,0,49
49,1,0,39
39,1,0,38
38,1,0,37
37,3,0,47
47,1,0,37
37,1,0,36
36,2,0,37
37,4,0,36
36,3,0,46
46,2,0,47
47,3,0,57
57,4,0,47
12,2,0,13
13,2,5,14
14,2,0,15
15,3,0,25
25,3,0,35
35,1,0,34
34,1,0,35
35,2,0,36
36,2,0,26
26,4,0,36
36,3,0,26
26,3,0,25
25,3,0,35
35,3,0,45
45,4,0,35
35,4,0,25
25,1,0,15
15,1,0,14
14,2,0,15
15,2,0,16
16,4,0,6
6,3,0,16
16,4,0,6
6,2,0,7
7,1,0,8
8,4,0,8
8,1,0,7
7,2,0,6
6,1,0,5
5,1,0,6
6,3,0,7
7,1,0,6
6,2,0,5
5,2,0,15
15,1,0,14
14,1,0,13
13,4,5,3
3,1,0,4
4,2,0,5
5,3,0,15
15,2,0,16
16,3,0,26
26,3,0,36
36,4,0,26
26,3,0,36
36,4,0,26
26,3,0,36
36,1,0,35
35,3,0,34
34,1,0,33
33,1,0,32
32,4,0,22
22,4,0,12
12,1,0,11
11,4,0,1
1,4,0,1
1,1,0,1
1,4,0,1
1,4,0,1
1,1,0,1
1,1,0,1
1,2,0,11
11,4,0,1
1,3,0,11
11,3,0,21
21,3,0,31
31,2,0,21
21,4,0,11
11,4,0,1
1,4,0,1
1,1,0,1
1,3,0,2
