Sensor,Order,Year,Month,Day,hh,mm,5_mins,hourly_v,Occupancy,Speed,Count
I-35/80 SB from IA-141-NB,11,2018,5,25,14,0,0,3780,10.33333333,69.60515873,315
I-35/80 SB from IA-141-NB,11,2018,5,25,14,5,1,3924,10.6,68.64487768,327
I-35/80 SB from IA-141-NB,11,2018,5,25,14,10,2,4584,12.2,70.30759162,382
I-35/80 SB from IA-141-NB,11,2018,5,25,14,15,3,4080,10.86666667,69.66544118,340
I-35/80 SB from IA-141-NB,11,2018,5,25,14,20,4,4644,13,67.35142119,387
I-35/80 SB from IA-141-NB,11,2018,5,25,14,25,5,4524,12.73333333,67.18998674,377
I-35/80 SB from IA-141-NB,11,2018,5,25,14,30,6,4092,10.8,71.73753666,341
I-35/80 SB from IA-141-NB,11,2018,5,25,14,35,7,4500,12.6,68.21333333,375
I-35/80 SB from IA-141-NB,11,2018,5,25,14,40,8,4260,11.73333333,70.37852113,355
I-35/80 SB from IA-141-NB,11,2018,5,25,14,45,9,4284,10.6,71.02415966,357
I-35/80 SB from IA-141-NB,11,2018,5,25,14,50,10,4644,12.06666667,69.41052972,387
I-35/80 SB from IA-141-NB,11,2018,5,25,14,55,11,4752,14.93333333,64.15719697,396
I-35/80 SB from IA-141-NB,11,2018,5,25,15,0,0,4848,17,52.69492574,404
I-35/80 SB from IA-141-NB,11,2018,5,25,15,5,1,4692,16,60.75127877,391
I-35/80 SB from IA-141-NB,11,2018,5,25,15,10,2,4980,14.73333333,57.90361446,415
I-35/80 SB from IA-141-NB,11,2018,5,25,15,15,3,4812,15.46666667,55.36003741,401
I-35/80 SB from IA-141-NB,11,2018,5,25,15,20,4,5508,15.66666667,59.77941177,459
I-35/80 SB from IA-141-NB,11,2018,5,25,15,25,5,4980,12.53333333,69.00451807,415
I-35/80 SB from IA-141-NB,11,2018,5,25,15,30,6,5520,16.8,60.06793478,460
I-35/80 SB from IA-141-NB,11,2018,5,25,15,35,7,4956,12.4,63.46700969,413
I-35/80 SB from IA-141-NB,11,2018,5,25,15,40,8,5676,15.6,62.76294926,473
